complaint,category
Broken road in Shivajinagar,Road
Flood near Hinjewadi,Flooding
Water supply issue in Shivajinagar,Water
Water overflowing near Hinjewadi,Water
Traffic jam near Hinjewadi,Traffic
Huge garbage pile near Pimpri,Waste
Large pothole on FC Road,Road
Uneven road surface near Hadapsar,Road
Frequent power cuts in Kothrud,Electricity
Garbage not collected in Hadapsar,Waste
Water leakage near Hadapsar,Water
Road damaged near FC Road,Road
Traffic jam near Hinjewadi,Traffic
Rainwater accumulation in Hinjewadi,Flooding
Vehicle congestion in Shivajinagar,Traffic
Frequent power cuts in Wakad,Electricity
Traffic signal not working at Pimpri,Traffic
Frequent power cuts in Hadapsar,Electricity
Garbage overflowing near Aundh,Waste
Frequent power cuts in Shivajinagar,Electricity
Broken road in Camp,Road
Rainwater accumulation in Kothrud,Flooding
Water overflowing near Kothrud,Water
Uneven road surface near Wakad,Road
Garbage overflowing near Hadapsar,Waste
Flood near FC Road,Flooding
Flood near Kothrud,Flooding
Garbage not collected in FC Road,Waste
Heavy traffic near Aundh,Traffic
Garbage not collected in Aundh,Waste
Pipeline burst in Shivajinagar,Water
Water supply issue in Hadapsar,Water
Garbage overflowing near Baner,Waste
Water leakage near Pimpri,Water
Vehicle congestion in Kothrud,Traffic
Road blocked due to traffic in Pimpri,Traffic
Garbage overflowing near Baner,Waste
Loose electric wire in Baner,Electricity
Heavy traffic near Camp,Traffic
Huge garbage pile near Wakad,Waste
No drinking water in Wakad,Water
Traffic jam near FC Road,Traffic
Flooding reported in Baner,Flooding
Water supply issue in Shivajinagar,Water
Vehicle congestion in Pimpri,Traffic
Streetlight not working in Shivajinagar,Electricity
Flooding reported in Baner,Flooding
Waterlogging after rain in FC Road,Flooding
Frequent power cuts in Wakad,Electricity
Large pothole on Wakad,Road
Traffic signal not working at Wakad,Traffic
Dirty drainage near Aundh,Drainage
Water supply issue in Kothrud,Water
Uneven road surface near Shivajinagar,Road
Road blocked due to traffic in Hadapsar,Traffic
Huge garbage pile near FC Road,Waste
Dirty drainage near Baner,Drainage
Waterlogging due to blocked drain in Camp,Drainage
Water overflowing near Aundh,Water
Streetlight not working in Camp,Electricity
Waste dumped outside Shivajinagar,Waste
Flood near Wakad,Flooding
Frequent power cuts in Kothrud,Electricity
Waterlogging due to blocked drain in Hinjewadi,Drainage
Drainage issue at Hinjewadi,Drainage
Broken road in Baner,Road
Waterlogging due to blocked drain in Camp,Drainage
Traffic signal not working at Camp,Traffic
Traffic jam near Aundh,Traffic
Huge garbage pile near Hinjewadi,Waste
Waterlogging after rain in Shivajinagar,Flooding
Garbage overflowing near Shivajinagar,Waste
Water overflowing near FC Road,Water
Pipeline burst in Shivajinagar,Water
Garbage not collected in Shivajinagar,Waste
Traffic jam near Kothrud,Traffic
Loose electric wire in Baner,Electricity
Rainwater accumulation in FC Road,Flooding
Waterlogging after rain in Aundh,Flooding
Drainage issue at Pimpri,Drainage
Vehicle congestion in Baner,Traffic
Huge garbage pile near Baner,Waste
Broken road in Pimpri,Road
Loose electric wire in Wakad,Electricity
Waste dumped outside Pimpri,Waste
Water leakage near FC Road,Water
Cracked road at Camp,Road
Area submerged in Wakad,Flooding
Loose electric wire in Wakad,Electricity
Road blocked due to traffic in Hadapsar,Traffic
Cracked road at Baner,Road
Rainwater accumulation in Camp,Flooding
Water supply issue in Hinjewadi,Water
Water supply issue in Camp,Water
Road damaged near Hinjewadi,Road
Flood near Wakad,Flooding
Large pothole on Shivajinagar,Road
Flooding reported in FC Road,Flooding
Sewage overflow in Shivajinagar,Drainage
Uneven road surface near Camp,Road
Heavy traffic near Baner,Traffic
Vehicle congestion in Wakad,Traffic
Waste dumped outside Hadapsar,Waste
Frequent power cuts in Kothrud,Electricity
Traffic signal not working at Pimpri,Traffic
Power outage near Aundh,Electricity
Broken road in Hadapsar,Road
Garbage not collected in Pimpri,Waste
Sewage overflow in FC Road,Drainage
Electric pole damaged in Camp,Electricity
Streetlight not working in Pimpri,Electricity
Power outage near Hadapsar,Electricity
Rainwater accumulation in Hinjewadi,Flooding
Garbage overflowing near Hinjewadi,Waste
Drain blocked near Hadapsar,Drainage
Water leakage near Hinjewadi,Water
Vehicle congestion in Kothrud,Traffic
Electric pole damaged in Kothrud,Electricity
Streetlight not working in Wakad,Electricity
Cracked road at Kothrud,Road
Water overflowing near Aundh,Water
Broken road in Shivajinagar,Road
Loose electric wire in Wakad,Electricity
Frequent power cuts in Wakad,Electricity
Waste dumped outside Wakad,Waste
Water leakage near FC Road,Water
Sewage overflow in Hinjewadi,Drainage
Waste dumped outside FC Road,Waste
Cracked road at Hadapsar,Road
Drain blocked near Kothrud,Drainage
Traffic signal not working at Camp,Traffic
Flooding reported in Pimpri,Flooding
Loose electric wire in Shivajinagar,Electricity
Water overflowing near Hinjewadi,Water
Loose electric wire in Aundh,Electricity
Dirty drainage near FC Road,Drainage
Drain blocked near Hinjewadi,Drainage
Streetlight not working in Shivajinagar,Electricity
Dirty drainage near Hinjewadi,Drainage
Pipeline burst in Hinjewadi,Water
Electric pole damaged in Hinjewadi,Electricity
Traffic signal not working at Baner,Traffic
Traffic signal not working at Hinjewadi,Traffic
Water overflowing near Pimpri,Water
Drain blocked near Wakad,Drainage
Drainage issue at Baner,Drainage
Water leakage near Baner,Water
Garbage overflowing near Pimpri,Waste
Pipeline burst in Shivajinagar,Water
Cracked road at Aundh,Road
Large pothole on Camp,Road
Water supply issue in Pimpri,Water
Pipeline burst in Aundh,Water
Heavy traffic near Kothrud,Traffic
Huge garbage pile near Pimpri,Waste
Electric pole damaged in FC Road,Electricity
Large pothole on Baner,Road
Road damaged near Shivajinagar,Road
Waste dumped outside Aundh,Waste
Electric pole damaged in Shivajinagar,Electricity
Water supply issue in FC Road,Water
Frequent power cuts in Camp,Electricity
Vehicle congestion in Camp,Traffic
Drainage issue at Hadapsar,Drainage
Traffic jam near Pimpri,Traffic
Cracked road at Shivajinagar,Road
Large pothole on Hinjewadi,Road
Rainwater accumulation in FC Road,Flooding
Waste dumped outside FC Road,Waste
Rainwater accumulation in Baner,Flooding
Water leakage near Aundh,Water
Frequent power cuts in Wakad,Electricity
Traffic jam near Shivajinagar,Traffic
Cracked road at FC Road,Road
Frequent power cuts in Hinjewadi,Electricity
Waste dumped outside Baner,Waste
Waste dumped outside Aundh,Waste
Garbage not collected in Baner,Waste
Dustbin overflowing in Shivajinagar,Waste
Garbage overflowing near Baner,Waste
Uneven road surface near Hinjewadi,Road
Vehicle congestion in Kothrud,Traffic
Huge garbage pile near Hinjewadi,Waste
Flooding reported in Shivajinagar,Flooding
Water overflowing near Wakad,Water
Vehicle congestion in Aundh,Traffic
Frequent power cuts in Aundh,Electricity
Dirty drainage near Hinjewadi,Drainage
Heavy traffic near FC Road,Traffic
Heavy traffic near Aundh,Traffic
Huge garbage pile near Shivajinagar,Waste
Drain blocked near Aundh,Drainage
Heavy traffic near Wakad,Traffic
Loose electric wire in FC Road,Electricity
Traffic signal not working at Hinjewadi,Traffic
Dirty drainage near Baner,Drainage
Road blocked due to traffic in Camp,Traffic
Garbage not collected in Aundh,Waste
Pipeline burst in FC Road,Water
Broken road in Baner,Road
No drinking water in Baner,Water
Traffic jam near Kothrud,Traffic
Garbage overflowing near Hadapsar,Waste
Traffic jam near Kothrud,Traffic
Heavy traffic near Pimpri,Traffic
Rainwater accumulation in FC Road,Flooding
Water leakage near Kothrud,Water
Drain blocked near Pimpri,Drainage
Dustbin overflowing in Wakad,Waste
Dirty drainage near Hadapsar,Drainage
Streetlight not working in Baner,Electricity
Road blocked due to traffic in Aundh,Traffic
Garbage overflowing near Hinjewadi,Waste
Heavy traffic near Wakad,Traffic
Dirty drainage near Kothrud,Drainage
Large pothole on Kothrud,Road
Loose electric wire in Camp,Electricity
Rainwater accumulation in Hinjewadi,Flooding
Large pothole on Shivajinagar,Road
Traffic signal not working at Aundh,Traffic
Waste dumped outside Kothrud,Waste
Vehicle congestion in Camp,Traffic
Pipeline burst in Wakad,Water
Waste dumped outside Shivajinagar,Waste
Uneven road surface near Wakad,Road
Pipeline burst in Hinjewadi,Water
Flood near Baner,Flooding
Streetlight not working in Hinjewadi,Electricity
Drain blocked near Baner,Drainage
Cracked road at Shivajinagar,Road
Cracked road at Kothrud,Road
Rainwater accumulation in Kothrud,Flooding
Garbage overflowing near Baner,Waste
Waterlogging due to blocked drain in Hinjewadi,Drainage
Uneven road surface near Aundh,Road
Road damaged near Pimpri,Road
Flooding reported in Hadapsar,Flooding
Garbage not collected in Wakad,Waste
Road damaged near Pimpri,Road
Dirty drainage near Camp,Drainage
Dirty drainage near Hadapsar,Drainage
Huge garbage pile near Kothrud,Waste
Frequent power cuts in Wakad,Electricity
Traffic jam near Shivajinagar,Traffic
Streetlight not working in Baner,Electricity
Garbage not collected in Aundh,Waste
Waterlogging after rain in Camp,Flooding
Large pothole on Shivajinagar,Road
Broken road in Wakad,Road
Huge garbage pile near Kothrud,Waste
Drain blocked near Baner,Drainage
Heavy traffic near Wakad,Traffic
Rainwater accumulation in Wakad,Flooding
Flood near Camp,Flooding
Power outage near Wakad,Electricity
Water overflowing near Baner,Water
Power outage near Hinjewadi,Electricity
Frequent power cuts in FC Road,Electricity
No drinking water in Hinjewadi,Water
Water supply issue in Baner,Water
Waterlogging after rain in FC Road,Flooding
No drinking water in Camp,Water
Cracked road at Aundh,Road
Frequent power cuts in Hinjewadi,Electricity
Garbage not collected in Pimpri,Waste
Sewage overflow in Pimpri,Drainage
Waterlogging due to blocked drain in Hinjewadi,Drainage
Garbage overflowing near Wakad,Waste
Pipeline burst in Hinjewadi,Water
Water leakage near Kothrud,Water
Traffic jam near Baner,Traffic
Drain blocked near Wakad,Drainage
Sewage overflow in Camp,Drainage
Traffic signal not working at Baner,Traffic
Traffic jam near Kothrud,Traffic
Waste dumped outside Hadapsar,Waste
Heavy traffic near Hadapsar,Traffic
Electric pole damaged in Wakad,Electricity
Road damaged near Aundh,Road
Garbage not collected in Shivajinagar,Waste
Electric pole damaged in FC Road,Electricity
Flood near Hadapsar,Flooding
Sewage overflow in Hadapsar,Drainage
Pipeline burst in Aundh,Water
Drain blocked near FC Road,Drainage
Pipeline burst in Hadapsar,Water
Dirty drainage near Hadapsar,Drainage
Broken road in Pimpri,Road
Garbage overflowing near Pimpri,Waste
Dirty drainage near Baner,Drainage
Cracked road at Pimpri,Road
Dustbin overflowing in Hinjewadi,Waste
Waste dumped outside Shivajinagar,Waste
Heavy traffic near FC Road,Traffic
Water overflowing near FC Road,Water
Sewage overflow in Aundh,Drainage
Sewage overflow in FC Road,Drainage
Large pothole on Hinjewadi,Road
Sewage overflow in Baner,Drainage
Flood near Shivajinagar,Flooding
Broken road in Hadapsar,Road
Electric pole damaged in Kothrud,Electricity
Flooding reported in Baner,Flooding
Frequent power cuts in Kothrud,Electricity
Area submerged in Hadapsar,Flooding
Vehicle congestion in Hadapsar,Traffic
Large pothole on Camp,Road
Waterlogging after rain in Baner,Flooding
Power outage near Hinjewadi,Electricity
Area submerged in Pimpri,Flooding
Waste dumped outside Aundh,Waste
Drain blocked near Shivajinagar,Drainage
Vehicle congestion in Aundh,Traffic
Road blocked due to traffic in Hadapsar,Traffic
Rainwater accumulation in Hadapsar,Flooding
Cracked road at Kothrud,Road
Large pothole on Aundh,Road
Traffic signal not working at Aundh,Traffic
Uneven road surface near Camp,Road
Flood near Kothrud,Flooding
Huge garbage pile near Pimpri,Waste
Garbage overflowing near FC Road,Waste
Vehicle congestion in Kothrud,Traffic
Water leakage near Wakad,Water
Garbage not collected in Shivajinagar,Waste
Huge garbage pile near Kothrud,Waste
Streetlight not working in Kothrud,Electricity
Drain blocked near Kothrud,Drainage
Loose electric wire in Hadapsar,Electricity
Sewage overflow in Kothrud,Drainage
Dirty drainage near Wakad,Drainage
Broken road in Shivajinagar,Road
Frequent power cuts in Hinjewadi,Electricity
Uneven road surface near FC Road,Road
Flood near FC Road,Flooding
Dirty drainage near Aundh,Drainage
Streetlight not working in Hinjewadi,Electricity
Frequent power cuts in Aundh,Electricity
Area submerged in Shivajinagar,Flooding
Road damaged near Camp,Road
Area submerged in Kothrud,Flooding
Rainwater accumulation in FC Road,Flooding
Road damaged near Kothrud,Road
Electric pole damaged in Wakad,Electricity
Huge garbage pile near Hinjewadi,Waste
Drainage issue at Hinjewadi,Drainage
Waterlogging due to blocked drain in Camp,Drainage
Traffic jam near Baner,Traffic
Broken road in Wakad,Road
Uneven road surface near Hadapsar,Road
Dustbin overflowing in Hinjewadi,Waste
Heavy traffic near Baner,Traffic
Broken road in Hadapsar,Road
Broken road in Kothrud,Road
Pipeline burst in Aundh,Water
No drinking water in Camp,Water
Uneven road surface near Hinjewadi,Road
Huge garbage pile near Shivajinagar,Waste
Broken road in Pimpri,Road
Water overflowing near Kothrud,Water
Road blocked due to traffic in FC Road,Traffic
Waterlogging due to blocked drain in Pimpri,Drainage
Water supply issue in Hadapsar,Water
Water supply issue in FC Road,Water
Loose electric wire in Hinjewadi,Electricity
Area submerged in Kothrud,Flooding
Area submerged in Aundh,Flooding
No drinking water in FC Road,Water
Flood near Kothrud,Flooding
Broken road in Shivajinagar,Road
Rainwater accumulation in Shivajinagar,Flooding
Streetlight not working in Kothrud,Electricity
Traffic signal not working at Baner,Traffic
Area submerged in Wakad,Flooding
Drain blocked near FC Road,Drainage
Drain blocked near Shivajinagar,Drainage
Frequent power cuts in Hinjewadi,Electricity
Frequent power cuts in Hadapsar,Electricity
Road damaged near Pimpri,Road
Sewage overflow in Baner,Drainage
Drain blocked near FC Road,Drainage
Waterlogging after rain in Shivajinagar,Flooding
Waterlogging due to blocked drain in Shivajinagar,Drainage
Rainwater accumulation in Hinjewadi,Flooding
Garbage not collected in FC Road,Waste
Electric pole damaged in Aundh,Electricity
Garbage overflowing near Wakad,Waste
Loose electric wire in Pimpri,Electricity
Huge garbage pile near Camp,Waste
Large pothole on Camp,Road
Huge garbage pile near Camp,Waste
Huge garbage pile near Camp,Waste
Garbage overflowing near Hadapsar,Waste
Area submerged in Shivajinagar,Flooding
Traffic jam near Pimpri,Traffic
Cracked road at Camp,Road
Sewage overflow in Wakad,Drainage
Water leakage near Baner,Water
Heavy traffic near Hinjewadi,Traffic
Drain blocked near Baner,Drainage
Electric pole damaged in Shivajinagar,Electricity
Electric pole damaged in Baner,Electricity
Flood near FC Road,Flooding
Waterlogging after rain in Hinjewadi,Flooding
Traffic jam near Shivajinagar,Traffic
Uneven road surface near Hinjewadi,Road
Cracked road at Aundh,Road
Road blocked due to traffic in Hinjewadi,Traffic
Large pothole on Pimpri,Road
Huge garbage pile near Baner,Waste
Frequent power cuts in Baner,Electricity
Road damaged near Hinjewadi,Road
Water leakage near Wakad,Water
Drainage issue at Baner,Drainage
Streetlight not working in Kothrud,Electricity
Waterlogging after rain in Baner,Flooding
Electric pole damaged in Kothrud,Electricity
Road blocked due to traffic in Hadapsar,Traffic
Drain blocked near Camp,Drainage
Rainwater accumulation in Hadapsar,Flooding
Traffic signal not working at Baner,Traffic
Pipeline burst in Aundh,Water
Streetlight not working in Pimpri,Electricity
Broken road in Hadapsar,Road
Sewage overflow in Kothrud,Drainage
No drinking water in Hinjewadi,Water
Rainwater accumulation in Hadapsar,Flooding
No drinking water in Hinjewadi,Water
Broken road in Aundh,Road
Waterlogging due to blocked drain in Kothrud,Drainage
Drainage issue at Kothrud,Drainage
Road damaged near Shivajinagar,Road
Water leakage near FC Road,Water
Garbage not collected in Kothrud,Waste
Flood near Baner,Flooding
Waste dumped outside Kothrud,Waste
Drain blocked near Kothrud,Drainage
Dustbin overflowing in Shivajinagar,Waste
Drainage issue at Shivajinagar,Drainage
Garbage overflowing near Camp,Waste
Waterlogging due to blocked drain in Hadapsar,Drainage
Drainage issue at Hadapsar,Drainage
Dirty drainage near Aundh,Drainage
Heavy traffic near Baner,Traffic
Flood near Camp,Flooding
Traffic signal not working at Kothrud,Traffic
Heavy traffic near Kothrud,Traffic
Road damaged near Hinjewadi,Road
No drinking water in Camp,Water
Water supply issue in Pimpri,Water
Road damaged near Camp,Road
Heavy traffic near Hinjewadi,Traffic
Uneven road surface near Camp,Road
Water supply issue in Baner,Water
Dustbin overflowing in Kothrud,Waste
Dirty drainage near Hadapsar,Drainage
Frequent power cuts in Wakad,Electricity
Water overflowing near Camp,Water
Waste dumped outside Kothrud,Waste
Flood near Hinjewadi,Flooding
Water leakage near Aundh,Water
Traffic jam near Hinjewadi,Traffic
Garbage not collected in Shivajinagar,Waste
Garbage not collected in Hadapsar,Waste
Large pothole on Hadapsar,Road
Pipeline burst in Baner,Water
Heavy traffic near Hadapsar,Traffic
Traffic jam near Aundh,Traffic
Huge garbage pile near Hadapsar,Waste
Flood near Kothrud,Flooding
Vehicle congestion in Camp,Traffic
Drain blocked near Hadapsar,Drainage
Drainage issue at FC Road,Drainage
Waste dumped outside Wakad,Waste
Electric pole damaged in Pimpri,Electricity
Flooding reported in Kothrud,Flooding
Vehicle congestion in Hinjewadi,Traffic
Water supply issue in Hadapsar,Water
Waterlogging after rain in Shivajinagar,Flooding
Large pothole on FC Road,Road
Area submerged in Shivajinagar,Flooding
Road blocked due to traffic in Kothrud,Traffic
Area submerged in Hinjewadi,Flooding
Drain blocked near Pimpri,Drainage
Water leakage near Kothrud,Water
Traffic jam near Pimpri,Traffic
Dirty drainage near Kothrud,Drainage
Drainage issue at FC Road,Drainage
Area submerged in Hadapsar,Flooding
Drain blocked near Hinjewadi,Drainage
Dirty drainage near Hinjewadi,Drainage
Streetlight not working in Shivajinagar,Electricity
Waste dumped outside Hadapsar,Waste
Drain blocked near Hinjewadi,Drainage
Sewage overflow in FC Road,Drainage
Dustbin overflowing in Hadapsar,Waste
Power outage near Camp,Electricity
Waterlogging after rain in Kothrud,Flooding
Traffic signal not working at Baner,Traffic
No drinking water in FC Road,Water
Flood near Pimpri,Flooding
Large pothole on Wakad,Road
Area submerged in Wakad,Flooding
Large pothole on Camp,Road
Water overflowing near Wakad,Water
Water overflowing near Hinjewadi,Water
Frequent power cuts in Wakad,Electricity
No drinking water in Aundh,Water
Loose electric wire in Hadapsar,Electricity
Traffic signal not working at Aundh,Traffic
Sewage overflow in Camp,Drainage
Sewage overflow in Hinjewadi,Drainage
Huge garbage pile near FC Road,Waste
Drain blocked near Hadapsar,Drainage
Loose electric wire in Hinjewadi,Electricity
Dustbin overflowing in Baner,Waste
Garbage overflowing near Shivajinagar,Waste
Loose electric wire in Baner,Electricity
Drainage issue at Shivajinagar,Drainage
Water supply issue in Baner,Water
Electric pole damaged in Wakad,Electricity
Power outage near Baner,Electricity
Waste dumped outside Hinjewadi,Waste
Vehicle congestion in Shivajinagar,Traffic
Traffic jam near Kothrud,Traffic
Large pothole on Baner,Road
Huge garbage pile near Shivajinagar,Waste
Power outage near Baner,Electricity
Road blocked due to traffic in Baner,Traffic
Traffic jam near Pimpri,Traffic
Pipeline burst in Kothrud,Water
Waterlogging due to blocked drain in FC Road,Drainage
Cracked road at Hinjewadi,Road
Vehicle congestion in Hadapsar,Traffic
Huge garbage pile near Aundh,Waste
Power outage near Pimpri,Electricity
Rainwater accumulation in Hadapsar,Flooding
Sewage overflow in Wakad,Drainage
No drinking water in Aundh,Water
Uneven road surface near Pimpri,Road
Area submerged in Pimpri,Flooding
No drinking water in Kothrud,Water
Broken road in Aundh,Road
Road damaged near FC Road,Road
Rainwater accumulation in Shivajinagar,Flooding
Electric pole damaged in Wakad,Electricity
Vehicle congestion in Aundh,Traffic
Drain blocked near Pimpri,Drainage
Waste dumped outside Camp,Waste
Pipeline burst in Pimpri,Water
Road damaged near Kothrud,Road
No drinking water in Hadapsar,Water
Power outage near Hadapsar,Electricity
Traffic jam near Shivajinagar,Traffic
Power outage near Kothrud,Electricity
Large pothole on Hinjewadi,Road
Flooding reported in Baner,Flooding
Sewage overflow in Wakad,Drainage
Flood near Wakad,Flooding
Cracked road at Hinjewadi,Road
Large pothole on Kothrud,Road
Huge garbage pile near Camp,Waste
Sewage overflow in Kothrud,Drainage
Road damaged near Camp,Road
Uneven road surface near Pimpri,Road
Road blocked due to traffic in Hadapsar,Traffic
Water leakage near FC Road,Water
Frequent power cuts in Hinjewadi,Electricity
Drainage issue at Hadapsar,Drainage
Streetlight not working in Kothrud,Electricity
Water supply issue in Aundh,Water
Loose electric wire in Shivajinagar,Electricity
Uneven road surface near Camp,Road
Water leakage near Shivajinagar,Water
Drainage issue at Aundh,Drainage
Electric pole damaged in Wakad,Electricity
Uneven road surface near Hadapsar,Road
Drainage issue at Hadapsar,Drainage
Pipeline burst in Baner,Water
Waterlogging after rain in Camp,Flooding
Streetlight not working in Kothrud,Electricity
Uneven road surface near Kothrud,Road
Area submerged in Camp,Flooding
Streetlight not working in Shivajinagar,Electricity
Waterlogging due to blocked drain in Kothrud,Drainage
Huge garbage pile near Aundh,Waste
Huge garbage pile near Camp,Waste
Large pothole on Baner,Road
Uneven road surface near Wakad,Road
Electric pole damaged in Pimpri,Electricity
Garbage overflowing near Aundh,Waste
Drain blocked near Wakad,Drainage
Flooding reported in FC Road,Flooding
Large pothole on Kothrud,Road
Dustbin overflowing in FC Road,Waste
Pipeline burst in Hadapsar,Water
Loose electric wire in Baner,Electricity
Vehicle congestion in Hinjewadi,Traffic
Electric pole damaged in Hinjewadi,Electricity
Broken road in Wakad,Road
Flood near Baner,Flooding
Water leakage near FC Road,Water
Traffic signal not working at Kothrud,Traffic
Waste dumped outside Aundh,Waste
No drinking water in Aundh,Water
Vehicle congestion in Camp,Traffic
Waterlogging after rain in Baner,Flooding
Road damaged near FC Road,Road
Sewage overflow in Aundh,Drainage
Huge garbage pile near Kothrud,Waste
Water leakage near Hadapsar,Water
Power outage near FC Road,Electricity
Traffic signal not working at Baner,Traffic
Heavy traffic near Hinjewadi,Traffic
Drain blocked near Shivajinagar,Drainage
Streetlight not working in Hadapsar,Electricity
Flooding reported in Baner,Flooding
Vehicle congestion in Camp,Traffic
Water leakage near Aundh,Water
Waste dumped outside FC Road,Waste
Water overflowing near Aundh,Water
Large pothole on Baner,Road
Rainwater accumulation in Hinjewadi,Flooding
Area submerged in Wakad,Flooding
Frequent power cuts in FC Road,Electricity
Electric pole damaged in Hadapsar,Electricity
Huge garbage pile near Wakad,Waste
Waterlogging after rain in Baner,Flooding
Vehicle congestion in Pimpri,Traffic
Traffic signal not working at Shivajinagar,Traffic
Traffic jam near Camp,Traffic
Water supply issue in Shivajinagar,Water
Water leakage near Camp,Water
Pipeline burst in Hadapsar,Water
Flood near Pimpri,Flooding
Road damaged near Hadapsar,Road
Road blocked due to traffic in Wakad,Traffic
Area submerged in Baner,Flooding
Pipeline burst in Aundh,Water
Road blocked due to traffic in Camp,Traffic
Water supply issue in Kothrud,Water
Streetlight not working in Wakad,Electricity
Loose electric wire in Wakad,Electricity
Power outage near Wakad,Electricity
Water overflowing near Hadapsar,Water
Road damaged near Hadapsar,Road
Dirty drainage near Pimpri,Drainage
Frequent power cuts in Baner,Electricity
Vehicle congestion in Kothrud,Traffic
Water overflowing near Wakad,Water
Waterlogging after rain in Kothrud,Flooding
Sewage overflow in Wakad,Drainage
Power outage near Pimpri,Electricity
Dirty drainage near Shivajinagar,Drainage
Dirty drainage near Shivajinagar,Drainage
Traffic jam near Camp,Traffic
Waste dumped outside Camp,Waste
No drinking water in Kothrud,Water
Water supply issue in Shivajinagar,Water
Broken road in Wakad,Road
Large pothole on Camp,Road
Rainwater accumulation in Baner,Flooding
Water overflowing near Wakad,Water
Traffic jam near Hinjewadi,Traffic
Broken road in Baner,Road
Waterlogging due to blocked drain in Wakad,Drainage
Garbage not collected in Hadapsar,Waste
Road blocked due to traffic in Hinjewadi,Traffic
Traffic jam near FC Road,Traffic
Huge garbage pile near Kothrud,Waste
Waterlogging after rain in Aundh,Flooding
Dirty drainage near Baner,Drainage
Area submerged in Aundh,Flooding
Pipeline burst in Aundh,Water
Dirty drainage near Baner,Drainage
Sewage overflow in Baner,Drainage
