"complaint","category"
"Anti-littering fine not being collected by enforcement at Kharadi despite repeated offences.","Waste"
"Paint waste from construction activity in Shivajinagar dumped openly on footpath.","Waste"
"Roadside dhaba near Deccan throwing food waste into storm water drain daily.","Waste"
"Garbage truck driver in Nigdi refusing to lift bulk waste from housing society without extra payment.","Waste"
"Expired stock from grocery store at Viman Nagar market dumped in public bin without prior compaction.","Waste"
"Waste transfer station near Kalyani Nagar emitting severe odour affecting schools and residences nearby.","Waste"
"Festival puja materials including flowers and idols dumped near Koregaon Park lake bund causing pollution.","Waste"
"Children playing near overflowing garbage at Hadapsar park due to absent collection staff today.","Waste"
"Stray dog menace increasing at Magarpatta due to uncontrolled food waste near shops.","Waste"
"Large hoardings blown by wind leaving plastic waste scattered across Baner main road.","Waste"
"Newly painted walls at Kondhwa underpass defaced with garbage poster stickering.","Waste"
"Littering in Chinchwad garden continues despite installation of CCTV surveillance.","Waste"
"Garbage complaint number provided by Pashan ward office is always unreachable.","Waste"
"Waste worker at Undri working without gloves or mask in unhygienic conditions.","Waste"
"Deep pothole near Kothrud signal causing accidents to two-wheelers during morning peak hours.","Road"
"Road dug up for pipeline work near Pune left unrepaired for more than three weeks.","Road"
"Speed breaker at JM Road school zone not painted and invisible at night causing accidents.","Road"
"Footpath encroached by shops near FC Road market forcing pedestrians onto main road.","Road"
"Road cave-in near Bhosari flyover approach road making it dangerous for heavy vehicles.","Road"
"Temporary road patch at Viman Nagar washed away after rain, pothole reappeared within 48 hours.","Road"
"Street lights not working on Aundh main road making night driving extremely hazardous.","Road"
"Damaged road divider near Wakad junction causing wrong-side driving by commuters.","Road"
"Concrete road at Shivajinagar cracking and breaking up posing risk to bicycles and bikes.","Road"
"No road markings at Bopodi crossing leading to constant traffic conflicts at junction.","Road"
"Utility trench dug by telecom company at Balewadi not refilled properly after cabling work.","Road"
"Footpath tiles near Ambegaon bus stop broken and uneven causing fall risk for elderly.","Road"
"Encroachment of service lane by vendors near Chinchwad reducing road width to half.","Road"
"Potholes near Hinjewadi hospital zone endangering ambulances and emergency vehicles.","Road"
"Road widening project at Pimpri stalled midway for months causing narrow bottleneck.","Road"
"Manhole cover missing near Dapodi residential area posing serious threat to cyclists.","Road"
"Retaining wall near Katraj hill road crumbling and overhanging the road dangerously.","Road"
"Road surface near Yerawada completely eroded due to heavy rains exposing underlying gravel.","Road"
"School road at Sus Road has no safe pedestrian crossing painted despite heavy student traffic.","Road"
"Desilting work on Pashan road left mud and silt on carriageway making it slippery.","Road"
"Divider plants at Nigdi median overgrown and blocking visibility for drivers at turns.","Road"
"Rain water stagnating on Warje road due to absence of cross drains and camber.","Road"
"Patchwork done on Magarpatta road without leveling creating bumpy and uneven surface.","Road"
"Cable box left open on Bibwewadi pavement creating tripping hazard for pedestrians.","Road"
"Road near Baner market broken due to heavy parking of delivery trucks daily.","Road"
"Speed breaker near Kondhwa colony too high causing vehicle scraping and accidents.","Road"
"Road at Deccan bridge approach extremely narrow with no safety railings on either side.","Road"
"Footpath occupied by two-wheelers near Kharadi office hub making it inaccessible.","Road"
"Uncovered utility trench at Vishrantwadi road under repair has no proper warning signs.","Road"
"Road bollards at Hadapsar service lane removed by unknown persons and not replaced.","Road"
"Missing cat-eyes and reflectors on Undri highway stretch making night driving dangerous.","Road"
"Road contractor at Koregaon Park laying substandard material under supervision of local workers.","Road"
"Broken kerb stones at Bavdhan road shoulder causing vehicles to drive on footpath.","Road"
"Pothole water splashing onto shops and pedestrians at Kalyani Nagar commercial zone during rain.","Road"
"Cement road at Swargate expansion joint broken causing jarring vibration for commuters.","Road"
"Retarder strips near Kothrud school being removed by vehicles over time, no action taken.","Road"
"Road near Pune nullah too narrow for two vehicles to pass simultaneously.","Road"
"Service road at JM Road used as parking area blocking emergency vehicle access.","Road"
"No pedestrian walkway provided on newly built FC Road bypass road.","Road"
"Potholes near Bhosari creek bridge more than 6 inches deep and filling with water.","Road"
"Road cutting for water supply work at Viman Nagar done without advance notice to commuters.","Road"
"Stormwater spilling onto road at Aundh causing erosion of road shoulder continuously.","Road"
"Pavement at Wakad temple road broken and tilted creating serious trip hazard.","Road"
"Road surface temperature causing tar to melt near Shivajinagar flyover in summer creating mess.","Road"
"Lane markings on Bopodi highway faded making merging extremely chaotic during peak hours.","Road"
"Road contractor piling construction material on carriageway at Balewadi without fencing.","Road"
"Speed calming measure at Ambegaon school removed by residents without authority approval.","Road"
"Poor quality road work at Chinchwad bridge deteriorating within 3 months of completion.","Road"
"Road at Hinjewadi encroached by shops forcing pedestrians to walk on the main road.","Road"
"Cement mixer truck leaking slurry on Pimpri road making it dangerously slippery.","Road"
"Footpath being used as extension of a restaurant in Dapodi depriving walkers of space.","Road"
"Heavy trucks going through residential roads near Katraj despite weight limit boards.","Road"
"Road cave-in near Yerawada storm drain went unreported for days despite being major hazard.","Road"
"Lighting poles fallen on road at Sus Road after storm not removed for over 24 hours.","Road"
"Concrete road near Pashan junction lifted by tree roots making surface uneven.","Road"
"Road under construction at Nigdi has no night warning lights causing near-miss accidents.","Road"
"No signage indicating one-way restriction at Warje lane causing constant violations.","Road"
"Divider broken at Magarpatta median facilitating illegal U-turns causing traffic confusion.","Road"
"Road at Bibwewadi completely broken for 200 metres with no alternative route available.","Road"
"Footpath near Baner metro construction used for debris storage by contractor.","Road"
"Broken road near Kondhwa gas station leaking oil making surface extremely slippery.","Road"
"Gravel from road construction piled on Deccan lane puncturing vehicle tyres regularly.","Road"
"Road shoulder at Kharadi slip road subsided creating dangerous drop for two-wheelers.","Road"
"No tactile path provided on new footpath constructed near Vishrantwadi for visually impaired.","Road"
"Road barricade at Hadapsar repair site left without reflectors causing night accidents.","Road"
"Potholes on Undri inner ring road repaired poorly, opening up again after first rain.","Road"
"Pedestrian guard rails near Koregaon Park footbridge missing, putting schoolchildren at risk.","Road"
"Road at Bavdhan area unpaved despite being in municipal limits for more than five years.","Road"
"Asphalt paving machine tracks left unsmoothed at Kalyani Nagar causing motorcycle skidding.","Road"
"Road divider near Swargate u-turn point damaged by vehicle impact not repaired for weeks.","Road"
"No water supply in Shivajinagar area for the past 3 days without any prior notice from authorities.","Water"
"Water pressure extremely low in Hinjewadi colony, water not reaching upper floors since last week.","Water"
"Drinking water from municipal tap at Katraj appearing brown and contaminated.","Water"
"Water leakage from main pipeline at Deccan causing road digging and traffic disruption.","Water"
"Water supply timing changed without notice in Pune area causing inconvenience to residents.","Water"
"Underground water pipe burst near Bhosari wasting thousands of litres of water daily.","Water"
"Water tanker not arriving at Yerawada slum area despite payment of tanker charges.","Water"
"Municipal water tasting foul at Dapodi possibly indicating contamination in supply line.","Water"
"Water meter reading at Kothrud household incorrect for past two months, bill inflated.","Water"
"Water connection applied for at Magarpatta plot not yet provided despite 3 months passed.","Water"
"No water supply in newly developed Viman Nagar extension though residents paying property tax.","Water"
"Water pipeline running through Kondhwa chowk area corroded and leaking at multiple points.","Water"
"Water supplied to Undri for only 30 minutes daily insufficient for household needs.","Water"
"Public water fountain near Hadapsar garden not functioning for over one month.","Water"
"Water supply contaminated with sewage at Aundh after recent road digging work.","Water"
"Bore well at Pimpri municipal school completely dried up, students facing acute shortage.","Water"
"Water tanker mafia operating in Chinchwad overcharging residents during supply disruptions.","Water"
"Illegal water connections spotted near Bibwewadi nullah area tapping into main supply.","Water"
"No water supply pressure at Wakad apartments during peak morning hours 6 AM to 9 AM.","Water"
"Water meter at Ambegaon running even when all taps in the house are completely closed.","Water"
"Pipeline replacement work at Kharadi delayed for 8 months causing frequent supply cuts.","Water"
"Water authority complaint number at Warje ward not responding to calls from residents.","Water"
"Groundwater level near Sus Road area dropping due to excessive extraction by apartments.","Water"
"Old galvanised iron water pipes in Bavdhan area rusting and contaminating drinking water.","Water"
"Water supply disrupted at Kalyani Nagar for 5 hours daily during water works maintenance.","Water"
"Residents of Baner apartments spending heavily on water purifiers due to quality issues.","Water"
"Water tanker discharging water near Bopodi road without permission causing muddy patches.","Water"
"Children at FC Road school consuming contaminated water due to broken water filter unit.","Water"
"Overhead tank cleaning not done at Vishrantwadi municipal school since more than six months.","Water"
"No action on complaint about leaking water main at Nigdi lodged 15 days ago.","Water"
"Water supply line at JM Road crosses open drain, risk of contamination during monsoon.","Water"
"Water theft by construction sites in Swargate reducing pressure for residential consumers.","Water"
"Water bill discrepancy for Koregaon Park flat owner despite correct meter readings submitted.","Water"
"Water supply cut for 8 hours in Balewadi without reason during summer peak demand.","Water"
"Newly laid water pipeline at Pashan has multiple joint leakages since day one.","Water"
"Open water sump at Shivajinagar housing board property becoming mosquito breeding ground.","Water"
"Water supply to Hinjewadi routed through asbestos pipe posing health risk to consumers.","Water"
"No separate drinking water source at Katraj labour camp despite state government mandate.","Water"
"Water leakage on footpath at Deccan creating waterlogged stretch for over two weeks.","Water"
"Residents of Pune slope area not getting water due to low pumping pressure from station.","Water"
"Drinking water tap near Bhosari bus stop broken and water running continuously wasting resource.","Water"
"No piped water supply in Yerawada tribal hamlet, residents walking 3 km to fetch water.","Water"
"Water meter box at Dapodi property damaged by road work and not replaced by authorities.","Water"
"Low-quality water supplied at Kothrud during festive season leading to illness outbreak.","Water"
"Overhead tank at Magarpatta municipal quarters leaking from the top and walls since months.","Water"
"Water pipeline survey at Viman Nagar pending since submission of application two months ago.","Water"
"Pipe from Kondhwa borewell overflowing and flooding the adjacent alley continuously.","Water"
"Resident of Undri using industrial-grade pump to draw water illegally from municipal main.","Water"
"No warning provided before 12-hour water supply cut for maintenance at Hadapsar.","Water"
"Community water storage tank at Aundh left uncovered allowing contamination from dust.","Water"
"Water quality complaint at Pimpri filed 3 weeks ago but no lab report shared with resident.","Water"
"Residents of Chinchwad low-income housing depend entirely on expensive water pouches.","Water"
"Water leaking from roadside valve at Bibwewadi flowing into open storm drain since last week.","Water"
"Water connection illegally diverted from Wakad municipal supply to private building.","Water"
"No repair crew sent to fix burst pipe at Ambegaon despite multiple complaints in 48 hours.","Water"
"Rusted water storage tank at Kharadi government school not replaced despite health hazard.","Water"
"Seasonal water scarcity at Warje worsened by poor planning and no alternative supply.","Water"
"New housing project at Sus Road connected to water main without proper approval.","Water"
"Municipal water pressure at Bavdhan inadequate even for ground floor residential connection.","Water"
"Water supply contaminated with algae near Kalyani Nagar lake-side area during monsoon season.","Water"
"Water meter connection at Baner not sealed after last repair leading to inaccurate readings.","Water"
"No water supply restoration notice given to Bopodi area after yesterday's emergency outage.","Water"
"Residents of FC Road colony using polluted open well as alternative due to municipal failure.","Water"
"Water main in Vishrantwadi burst causing road cave-in, repair team arrived after 6 hours.","Water"
"Supply to Nigdi area being diverted by contractors doing metro work on pipe route.","Water"
"Annual pipe flushing operation at JM Road not conducted, water quality severely degraded.","Water"
"No water supply to Swargate area health centre making sanitation procedures impossible.","Water"
"Power cut in Viman Nagar area lasting more than 8 hours with no information from MSEDCL.","Electricity"
"Electric transformer near Bibwewadi making loud humming noise and emitting sparks at night.","Electricity"
"Overhead electric wire sagging dangerously low over Yerawada main road causing risk.","Electricity"
"Frequent voltage fluctuation at Pune colony damaging household appliances repeatedly.","Electricity"
"Street light at Sus Road junction fused and not replaced despite complaint filed 10 days ago.","Electricity"
"Power theft happening openly near Kondhwa market with hook connections on main wire.","Electricity"
"Electricity pole at Ambegaon leaning dangerously close to building due to unstable foundation.","Electricity"
"Frequent tripping of power supply at Vishrantwadi causing disruption to work-from-home residents.","Electricity"
"Electricity bill at Kharadi household showing inflated units for past three consecutive months.","Electricity"
"No electricity supply to newly constructed Koregaon Park building despite completion certificate.","Electricity"
"Low voltage problem at Magarpatta area all appliances running below rated capacity.","Electricity"
"Open electric switch box near Kalyani Nagar children's park posing serious electrocution risk.","Electricity"
"Electricity meter reading at FC Road not taken for 2 months, bill estimated incorrectly.","Electricity"
"Electric wire cutting tree branches near Aundh garden causing fire hazard in dry season.","Electricity"
"Power supply to Katraj area tripping every evening at peak hours affecting cooking.","Electricity"
"Electric pole uprooted by wind at Bhosari lane still lying on road after 24 hours.","Electricity"
"Faulty streetlight at Dapodi school lane flickering intermittently at night.","Electricity"
"Distribution transformer at Kothrud near residential area making loud banging noise.","Electricity"
"Street lights at Wakad on during daytime and switched off at night due to timer fault.","Electricity"
"Exposed live wire near Nigdi bus stop reported to utility but not attended for 5 days.","Electricity"
"Power supply disrupted at Deccan during water pumping hours causing storage tank shortage.","Electricity"
"Earthing fault at Shivajinagar building supply causing mild shocks on water taps and pipes.","Electricity"
"MSEDCL crew working on Bopodi road without safety barricades endangering pedestrians.","Electricity"
"Illegal electric connection from neighbouring construction site at Balewadi overloading fuse.","Electricity"
"Frequent outages at Baner area suspected due to overloaded distribution transformer.","Electricity"
"Electric meter installed at Warje property appears to be running fast despite low usage.","Electricity"
"No street lighting provided on newly developed road at Bavdhan extension area.","Electricity"
"Power supply not restored at Pashan for 12 hours after thunderstorm despite call to helpline.","Electricity"
"Substation at Hinjewadi frequently tripping affecting entire colony of 500 households.","Electricity"
"Open electrical manhole at Undri footpath filled with rainwater is dangerous.","Electricity"
"Electricity supply to JM Road temple cut for non-payment despite payment receipts available.","Electricity"
"Damaged electric pole insulator at Swargate road sparking during rain is a fire hazard.","Electricity"
"Solar panels installed at Hadapsar government building not connected to grid meter properly.","Electricity"
"High tension wire passing near Chinchwad school building at dangerously low height.","Electricity"
"Emergency power backup generator at Pimpri hospital failing due to erratic municipal supply.","Electricity"
"MSEDCL employees at Viman Nagar division demanding bribe for new meter installation.","Electricity"
"Electric feeder line at Bibwewadi broken during road work not repaired for 3 days.","Electricity"
"Public charging station near Yerawada metro stop non-functional since inauguration.","Electricity"
"Electricity pole wire supporting cable TV connections illegally at Pune building.","Electricity"
"Transformer oil leaking near Sus Road footpath posing environmental and fire hazard.","Electricity"
"Festival lighting on Kondhwa road done with unsafe wiring posing electrocution risk.","Electricity"
"Electric wires hanging loose over Ambegaon wet market area extremely dangerous during rain.","Electricity"
"Street light cables stolen near Vishrantwadi highway service road leaving stretch in darkness.","Electricity"
"Distribution box near Kharadi apartment complex open and accessible to children.","Electricity"
"Power supply to Koregaon Park borewell motor frequently tripping causing water shortage.","Electricity"
"Wiring along Magarpatta bus shelter corroded and exposed to public contact area.","Electricity"
"MSEDCL pole being used to hang flexes and banners at Kalyani Nagar road intersection.","Electricity"
"Multiple streetlights at FC Road colony have been non-functional for over 3 months.","Electricity"
"Electricity department van parked at Aundh depot leaking oil onto public road.","Electricity"
"Load shedding at Katraj following unscheduled schedule not communicated to residents.","Electricity"
"Complaints filed about power cut at Bhosari ward not logged properly in MSEDCL portal.","Electricity"
"New electric sub-meter installed at Dapodi without authorised inspection by utility.","Electricity"
"Electric fencing near Kothrud farmland on city boundary touching public footpath.","Electricity"
"CCTV camera pole at Wakad road sharing dangerous proximity with electric wire.","Electricity"
"Electricity connection application at Nigdi plot pending for over 4 months without update.","Electricity"
"Tree branches touching HT line near Deccan park posing bushfire risk during summer.","Electricity"
"Electric supply failure at Shivajinagar during wedding season due to overloaded feeder.","Electricity"
"Smart meter installed at Bopodi society showing incorrect readings from day one.","Electricity"
"Power supply affected at Balewadi due to cable theft from nearby drainage construction site.","Electricity"
"No response from MSEDCL helpline for fault reported at Baner five days ago.","Electricity"
"Phase imbalance at Warje society causing appliance damage and motor burnouts.","Electricity"
"Electricity pole at Bavdhan badly corroded at base, likely to fall during monsoon.","Electricity"
"Unmetered connection to Pashan street light pole being used by roadside shop.","Electricity"
"Electric shock incident at Hinjewadi community hall due to faulty earthing reported.","Electricity"
"Service cable from pole to Undri building touching terrace parapet dangerously.","Electricity"
"Power to JM Road area restored for only 2 hours after 10-hour outage, tripped again.","Electricity"
"Commercial establishment at Swargate using agricultural power connection illegally.","Electricity"
"Children playing near damaged electric pole at Hadapsar park, no safety fencing done.","Electricity"
"Electric supply disruption at Chinchwad coinciding with exam season affecting students.","Electricity"
"Open drain near FC Road residential area overflowing with sewage onto the road.","Drainage"
"Drainage manhole cover cracked and sunken at Katraj main road creating vehicle hazard.","Drainage"
"Sewer line choked at Bavdhan colony causing backflow into ground floor apartments.","Drainage"
"Storm water drain near Warje park clogged with plastic waste and silted heavily.","Drainage"
"Raw sewage flowing openly through Pimpri lane due to broken underground drain pipe.","Drainage"
"Drainage inspection cover missing at Wakad junction causing vehicle and pedestrian risk.","Drainage"
"Foul smell from blocked drain near Swargate school affecting children's health daily.","Drainage"
"Drain at Ambegaon market area choked due to commercial waste disposal by vendors.","Drainage"
"Drainage canal at Dapodi blocked by encroachments reducing flow during monsoon.","Drainage"
"Nullah near Chinchwad overflowing due to unauthorised dumping of solid waste inside it.","Drainage"
"Drainage connection of Balewadi apartment complex found discharging into stormwater line.","Drainage"
"Open septic tank overflow at Koregaon Park low-income housing area spreading disease.","Drainage"
"Sewer main at Kharadi road cracked due to road work, causing raw sewage exposure.","Drainage"
"No drainage provision made in newly plotted layout at Kondhwa extension affecting residents.","Drainage"
"Drain overflow near Yerawada causing mosquito breeding and dengue threat to locals.","Drainage"
"Drainage work at Pune left incomplete by contractor with open trench since months.","Drainage"
"Sewer overflow from manhole at Bibwewadi junction making road use impossible for pedestrians.","Drainage"
"Storm drain at Hadapsar not cleaned before monsoon, flooding risk very high this year.","Drainage"
"Industrial effluent being discharged into Bopodi drainage canal bypassing treatment.","Drainage"
"Drain near Hinjewadi temple road always blocked due to flower and prasad waste disposal.","Drainage"
"Sewage leaking from old pipes at Kothrud causing sinkholes in road surface.","Drainage"
"Open nullah at Bhosari posing safety hazard to children with no protective fencing.","Drainage"
"Drainage lines at Baner apartment not connected to main sewer, causing overflow.","Drainage"
"Backflow of sewage in kitchen drain at Deccan flats after recent heavy rain.","Drainage"
"Cracked drain wall at Kalyani Nagar causing surrounding soil erosion and road subsidence.","Drainage"
"Sewer access shaft at Sus Road road left open after inspection, no cover placed back.","Drainage"
"Drain at Aundh market area choked with grease from eateries, needs cleaning urgently.","Drainage"
"Storm water collected at Viman Nagar underpass not draining for 3 days after rain.","Drainage"
"Drainage capacity at Magarpatta insufficient for the number of households connected.","Drainage"
"Tree roots blocking drain at Pashan causing backup every time it rains heavily.","Drainage"
"Sewer pipe running through Shivajinagar building compound extremely old and leaking.","Drainage"
"Drain at JM Road road slope not designed to handle heavy rain runoff from highway above.","Drainage"
"Garbage dumped in open drain at Undri by residents blocking flow completely.","Drainage"
"Effluent from Vishrantwadi car wash facility entering storm drain without treatment.","Drainage"
"Drain near Nigdi market emitting extreme odour especially during summer months.","Drainage"
"Combined drain at FC Road overflowing every evening during peak discharge hours.","Drainage"
"Overflow from Katraj sewage treatment plant reaching residential area during monsoon.","Drainage"
"Stormwater drain at Bavdhan flyover below not desilted, choking likely in rains.","Drainage"
"Sewage pump station at Warje non-functional due to power cuts causing backup.","Drainage"
"Open drain at Pimpri serving as bathing place by migrant workers causing hygiene issue.","Drainage"
"Drain at Wakad housing scheme not connected to main trunk sewer, open defecation near it.","Drainage"
"Encroachment on drain buffer zone at Swargate causing overflow during normal rains.","Drainage"
"Concrete slab over drain at Ambegaon colony broken, children likely to fall in.","Drainage"
"Sewer overflow from Dapodi main road affecting adjacent properties with foul water.","Drainage"
"Drain desilting work at Chinchwad conducted but excavated silt not removed from site.","Drainage"
"Sewage from Balewadi bus depot workshop being discharged to open drain without treatment.","Drainage"
"New housing project at Koregaon Park connected drain to old insufficient infrastructure.","Drainage"
"No drain cover at Kharadi society compound exit gate causing injury risk at night.","Drainage"
"Sewer gas emanating from drain at Kondhwa causing headaches and nausea for residents.","Drainage"
"Drain near Yerawada school filled with stagnant water despite being reported three times.","Drainage"
"Overflowing drain near Pune hospital is a biohazard given proximity to wards.","Drainage"
"Storm drain pipe at Bibwewadi road choked with silt and garbage requiring immediate cleaning.","Drainage"
"Drainage contractor at Hadapsar project using substandard pipes already showing cracks.","Drainage"
"Outlet of drainage canal at Bopodi blocked by silt affecting upstream drain capacity.","Drainage"
"Residential drainage at Hinjewadi hill area overflowing due to inadequate gradient design.","Drainage"
"Sewage from Kothrud roadside toilet block flowing to street drain without treatment.","Drainage"
"Drain inspection chamber at Bhosari missing cover for past 6 weeks despite complaints.","Drainage"
"Nullah at Baner encroached by illegal shops built on its banks reducing water channel.","Drainage"
"Drain backflow at Deccan creating water pond near building entrance every rainy day.","Drainage"
"Combined sewage and stormwater overflow at Kalyani Nagar during moderate rainfall events.","Drainage"
"Drainage network at Sus Road area too old and narrow for current population load.","Drainage"
"Sewer line at Aundh road not cleaned despite request, causing foul smell daily.","Drainage"
"Overflow from Viman Nagar drain reaching playgrounds and affecting children during monsoon.","Drainage"
"Sewer at Magarpatta flat complex cross-connected with rainwater pipe causing contamination.","Drainage"
"Drain gate at Pashan creek opening closed due to silt, stagnating water upstream.","Drainage"
"Drains at Shivajinagar vehicle service area collecting oil and grease discharging to creek.","Drainage"
"Residents near JM Road nullah facing mosquito menace due to stagnant drain water.","Drainage"
"STP at Undri society not maintained, untreated sewage going to municipal drain.","Drainage"
"Drainage outlet near Vishrantwadi lake bund releasing partially treated sewage into lake.","Drainage"
"No traffic signal functioning at Magarpatta main junction during peak morning hours.","Traffic"
"Footpath at Baner road encroached by vehicles forcing pedestrians onto carriageway.","Traffic"
"Traffic police absent at Warje busy crossing during school opening and closing hours.","Traffic"
"Illegal parking of trucks near Bibwewadi market blocking one full lane every night.","Traffic"
"No zebra crossing painted near Balewadi school despite high student pedestrian traffic.","Traffic"
"Signal timing at Deccan junction extremely unbalanced causing long queues on one side.","Traffic"
"Wrong side driving rampant near Hinjewadi due to broken road divider not repaired.","Traffic"
"Auto rickshaws standing in middle of Bhosari road for passengers causing traffic jam.","Traffic"
"No footover bridge near Dapodi highway crossing leading to dangerous jaywalking.","Traffic"
"Traffic jam every day at Vishrantwadi junction due to absence of rotary or signal.","Traffic"
"School buses illegally parked on FC Road main road during drop-off creating bottleneck.","Traffic"
"Heavy vehicles using Yerawada residential road as shortcut ignoring weight limit boards.","Traffic"
"Two-wheelers riding on footpath at Bavdhan risking pedestrian safety continuously.","Traffic"
"Unmanned railway level crossing near Katraj causing long traffic halts multiple times daily.","Traffic"
"No proper turn lanes at Chinchwad crossing causing gridlock during peak hour traffic.","Traffic"
"Encroachment of road by commercial establishments at Kalyani Nagar reducing road to single lane.","Traffic"
"Traffic signal at Pimpri stuck on red for all directions simultaneously for hours.","Traffic"
"Parking near JM Road hospital allowing vehicles to block emergency vehicle access route.","Traffic"
"Hawkers occupying road shoulder at Pashan market area reducing drivable road width.","Traffic"
"Vehicles parked on both sides of Hadapsar inner road making it impassable for fire trucks.","Traffic"
"Illegal taxi stand near Nigdi station causing congestion during morning commute.","Traffic"
"Overspeeding by two-wheelers on Kothrud residential street endangering children.","Traffic"
"Road merger at Kharadi junction poorly designed causing accidents every week.","Traffic"
"No directional signage at Sus Road highway fork leading to frequent wrong turns and U-turns.","Traffic"
"Potholes and traffic signal fault together making Wakad intersection an accident black spot.","Traffic"
"Buses stopping outside designated stops at Viman Nagar blocking traffic for minutes at a time.","Traffic"
"Heavy vehicles parked on Undri service road overnight creating morning chaos.","Traffic"
"Delivery vehicles from e-commerce companies double parking at Pune apartments daily.","Traffic"
"Pedestrian-phase not included in newly installed traffic signal at Koregaon Park junction.","Traffic"
"No parking zone markings faded at Kondhwa market making enforcement ineffective.","Traffic"
"One-way sign at Aundh lane not visible due to encroaching trees blocking it.","Traffic"
"Traffic on Bopodi flyover service road blocked by unauthorised temporary shops.","Traffic"
"Lack of road studs at night causing wrong lane usage on Swargate divided road.","Traffic"
"Traffic signal camera at Shivajinagar junction reportedly non-functional for 2 months.","Traffic"
"Auto stand at Ambegaon occupying 30 percent of road width causing daily bottleneck.","Traffic"
